country,year,primary_energy_consumption,oil_production,gas_production,coal_production,renewables_consumption,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity
China,2025,,,,,,1174.9599609375,1135.43994140625,1397.06005859375,487.6099853515625
Germany,2025,,,,,,89.62000274658203,136.02999877929688,19.559999465942383,0.0
India,2025,,,,,,195.9900054931641,103.9800033569336,177.97000122070312,53.83000183105469
United Kingdom,2025,,,,,,19.31999969482422,85.83999633789062,5.550000190734863,36.380001068115234
United States,2025,,,,,,388.8200073242188,464.3900146484375,241.6999969482422,784.780029296875
