country,year,primary_energy_consumption,oil_production,gas_production,coal_production,renewables_consumption,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity
China,1900,,0.0,0.0,0.0,,,,,
China,1901,,0.0,0.0,0.0,,,,,
China,1902,,0.0,0.0,0.2906337082386017,,,,,
China,1903,,0.0,0.0,6.02193021774292,,,,,
China,1904,,0.0,0.0,6.411379337310791,,,,,
China,1905,,0.0,0.0,7.050773620605469,,,,,
China,1906,,0.0,0.0,52.50588607788086,,,,,
China,1907,,0.0,0.0,51.6746711730957,,,,,
China,1908,,0.0,0.0,69.75209045410156,,,,,
China,1909,,0.0,0.0,63.939414978027344,,,,,
China,1910,,0.0,0.0,57.53384780883789,,,,,
China,1911,,0.0,0.0,85.44630432128906,,,,,
China,1912,,0.0,0.0,30.02827453613281,,,,,
China,1913,,0.0,0.0,33.004364013671875,,,,,
China,1914,,0.0,0.0,46.35026168823242,,,,,
China,1915,,0.0,0.0,49.36703872680664,,,,,
China,1916,,0.0,0.0,55.12158584594727,,,,,
China,1917,,0.0,0.0,60.9110107421875,,,,,
China,1918,,0.0,0.0,64.572998046875,,,,,
China,1919,,0.0,0.0,74.43128967285156,,,,,
China,1920,,0.0,0.0,82.1388931274414,,,,,
China,1921,,0.0,0.0,77.59919738769531,,,,,
China,1922,,0.0,0.0,81.7261962890625,,,,,
China,1923,,0.0,0.0,98.65851593017578,,,,,
China,1924,,0.0,0.0,107.6797866821289,,,,,
China,1925,,0.0,0.0,101.94268035888672,,,,,
China,1926,,0.023259999230504,0.0,90.77652740478516,,,,,
China,1927,,0.0348899997770786,0.0,102.84945678710938,,,,,
China,1928,,0.0348899997770786,0.0,104.51187896728516,,,,,
China,1929,,0.046519998461008,0.0,109.59215545654295,,,,,
China,1930,,0.5814999938011169,0.0,115.6257095336914,,,,,
China,1931,,0.7094299793243408,0.0,122.6067352294922,,,,,
China,1932,,0.8141000270843506,0.0,117.4915771484375,,,,,
China,1933,,1.0118099451065063,0.0,128.3147735595703,,,,,
China,1934,,1.0699599981307983,0.0,149.97280883789062,,,,,
China,1935,,1.6398299932479858,0.0,174.92079162597656,,,,,
China,1936,,1.9305800199508667,0.0,196.4335021972656,,,,,
China,1937,,2.2562201023101807,0.0,182.44239807128903,,,,,
China,1938,,3.163360118865967,0.0,167.1085662841797,,,,,
China,1939,,4.4659199714660645,0.0,201.63003540039065,,,,,
China,1940,,6.803549766540527,0.0,257.6990966796875,,,,,
China,1941,,7.710690021514893,0.0,322.15582275390625,,,,,
China,1942,,9.501709938049316,0.0,339.3090209960937,,,,,
China,1943,,3.6169300079345694,0.0,293.3017272949219,,,,,
China,1944,,2.337630033493042,0.0,296.6033020019531,,,,,
China,1945,,2.035249948501587,0.0,152.7861328125,,,,,
China,1946,,0.8141000270843506,0.0,94.99071502685548,,,,,
China,1947,,0.6047599911689758,0.0,101.94268035888672,,,,,
China,1948,,0.8489900231361389,0.0,72.19341278076172,,,,,
China,1949,,1.372339963912964,0.0,180.19290161132807,,,,,
China,1950,,2.349260091781616,0.0,249.4799652099609,,,,,
China,1951,,3.5587799549102783,0.0,308.5948486328125,,,,,
China,1952,,5.070680141448975,0.0,386.4846801757813,,,,,
China,1953,,7.233860015869141,0.0,405.0271301269531,,,,,
China,1954,,9.176070213317873,0.0,486.2882995605469,,,,,
China,1955,,11.234580039978027,1.3247578144073486,571.3858642578125,,,,,
China,1956,,13.525690078735352,2.769948005676269,641.4866943359375,,,,,
China,1957,,16.979799270629883,3.974273443222046,759.890869140625,,,,,
China,1958,,26.330320358276367,4.757084846496582,1569.4219970703125,,,,,
China,1959,,43.03099822998047,5.539896011352539,2021.6480712890625,,,,,
China,1960,,63.96500015258789,6.322707653045654,2441.322998046875,,,,,
China,1961,,72.10600280761719,7.1055192947387695,1453.16845703125,,,,,
China,1962,,79.08399963378906,7.888330459594727,1453.16845703125,,,,,
China,1963,,87.2249984741211,8.671141624450684,1453.16845703125,,,,,
China,1964,,98.8550033569336,9.453953742980955,1685.6754150390625,,,,,
China,1965,1536.1942138671875,131.53530883789062,10.236764907836914,1737.989501953125,61.38055419921875,0.0,0.0,22.097000122070312,0.0
China,1966,1669.3079833984375,169.2165069580078,11.019576072692873,1900.744384765625,62.46084976196289,0.0,0.0,22.48590660095215,0.0
China,1967,1501.068359375,161.42440795898438,11.802387237548828,1319.47705078125,53.843017578125,0.0,0.0,19.383487701416016,0.0
China,1968,1516.69580078125,185.9636993408203,12.585199356079102,1743.80224609375,63.52887344360352,0.0,0.0,22.87039566040039,0.0
China,1969,1845.1861572265625,252.8361968994141,15.355147361755373,1889.1190185546875,64.60916900634766,0.0,0.0,23.259302139282227,0.0
China,1970,2361.698486328125,356.4595031738281,28.925762176513672,2092.562744140625,66.76976776123047,0.0,0.0,24.03711700439453,0.0
China,1971,2800.124267578125,458.3382873535156,37.69419860839844,2266.94287109375,80.76453399658203,0.0,0.0,29.075233459472656,0.0
China,1972,3018.836669921875,531.14208984375,48.78072738647461,2325.069580078125,91.53067779541016,0.0,0.0,32.951045989990234,0.0
China,1973,3186.892822265625,623.4843139648438,60.27040481567383,2499.44970703125,102.29682159423828,0.0,0.0,36.82685852050781,0.0
China,1974,3286.76171875,754.2055053710938,75.892333984375,2615.703369140625,115.76372528076172,0.0,0.0,41.67494201660156,0.0
China,1975,3680.44140625,896.207763671875,89.1961669921875,2731.956787109375,121.14065551757812,0.0,0.0,43.61063766479492,0.0
China,1976,3874.82666015625,1013.6708374023438,101.79449462890624,2790.08349609375,122.7611083984375,0.0,0.0,44.19400024414063,0.0
China,1977,4225.15185546875,1089.033203125,122.15339660644533,3063.279296875,128.1503143310547,0.0,0.0,46.13411712646485,0.0
China,1978,4632.03271484375,1210.1015625,138.38003540039062,3446.915771484375,120.0726318359375,0.0,0.0,43.22615051269531,0.0
China,1979,4771.826171875,1234.5245361328125,146.2414093017578,3545.731201171875,134.87762451171875,0.0,0.0,48.555946350097656,0.0
China,1980,4827.53369140625,1232.198486328125,143.822509765625,4051.28369140625,161.72547912597656,0.0,0.0,58.22117614746094,0.0
China,1981,4763.849609375,1177.1885986328125,128.40216064453125,3614.60400390625,181.98106384277344,0.0,0.0,65.51318359375,0.0
China,1982,4976.8701171875,1187.6556396484375,120.23844909667967,3874.534423828125,206.7051544189453,0.0,0.0,74.41385650634766,0.0
China,1983,5297.6982421875,1233.5941162109375,123.06047058105467,4154.8173828125,240.04705810546875,0.0,0.0,86.41694641113281,0.0
China,1984,5685.14453125,1332.914306640625,125.27777862548828,4589.19775390625,241.1519317626953,0.0,0.0,86.814697265625,0.0
China,1985,6150.37109375,1452.5870361328125,130.31710815429688,5072.4248046875,256.632080078125,0.0,0.0,92.38755798339844,0.0
China,1986,6444.10595703125,1519.9246826171875,138.68240356445312,5198.60986328125,262.6351013183594,0.0,0.0,94.54864501953124,0.0
China,1987,6950.2392578125,1560.0482177734375,139.99261474609375,5396.9013671875,277.84521484375,0.0,0.0,100.02427673339844,0.0
China,1988,7467.11181640625,1593.8914794921875,143.7217254638672,5698.11865234375,303.2445068359375,0.0,0.0,109.16802215576172,0.0
China,1989,7836.4365234375,1600.753173828125,151.67379760742188,6130.1728515625,328.913818359375,0.0,0.0,118.4089813232422,0.0
China,1990,7938.24951171875,1608.5452880859375,154.18338012695312,6279.51953125,352.2777709960937,0.0020000000949949,0.0020202021114528,126.74397277832033,0.0
China,1991,8337.6103515625,1639.7137451171875,156.1184844970703,6323.26611328125,346.5889892578125,0.0020000000949949,0.0090909088030457,124.68894958496094,0.0
China,1992,8773.7080078125,1651.9251708984375,159.14208984375,6491.74951171875,363.74310302734375,0.003000000026077,0.1313131302595138,130.6860809326172,0.0
China,1993,9457.6337890625,1675.06884765625,168.96878051757812,6691.14599609375,422.7608337402344,0.0040000001899898,0.2121212184429168,151.84616088867188,1.6039999723434448
China,1994,10048.8125,1698.910400390625,176.9712371826172,7210.0244140625,467.5980529785156,0.0049999998882412,0.3838383853435516,167.42897033691406,14.755999565124512
China,1995,10352.658203125,1733.1026611328125,180.91200256347656,7912.65087890625,540.5386352539062,0.0070000002160668,0.6161616444587708,190.5800018310547,12.833000183105469
China,1996,10907.4501953125,1843.587646484375,202.7222137451172,8121.806640625,527.2153930664062,0.0089999996125698,0.0939393937587738,187.97000122070312,14.338000297546388
China,1997,10981.1337890625,1862.31201171875,228.8158721923828,8068.494140625,553.4755859375,0.0109999999403953,0.1979797929525375,195.97999572753903,14.41800022125244
